transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,Profit,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfm_score,customer_title,Age_Group,detail_cust_title,rank
1,2,2950,2017-02-25,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,17.869999999999994,Kristos,Anthony,Male,19,1955-01-11,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0,66,75,3,645.99,2,1,1,211,Bronze,70,Almost Lost Customer,9
11065,1,2950,2017-10-16,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,37659.0,448.68,Kristos,Anthony,Male,19,1955-01-11,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0,66,75,3,645.99,2,1,1,211,Bronze,70,Almost Lost Customer,9
18923,62,2950,2017-04-26,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,40487.0,179.44,Kristos,Anthony,Male,19,1955-01-11,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0,66,75,3,645.99,2,1,1,211,Bronze,70,Almost Lost Customer,9
2,3,3120,2017-05-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701.0,1702.5499999999995,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,42,20,7,4179.11,3,3,4,334,Gold,50,Potential Customer,5
6862,4,3120,2017-10-05,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,40649.0,451.65000000000015,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,42,20,7,4179.11,3,3,4,334,Gold,50,Potential Customer,5
9155,91,3120,2017-10-30,1.0,Approved,Solex,Standard,medium,medium,100.35,75.26,38002.0,25.08999999999999,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,42,20,7,4179.11,3,3,4,334,Gold,50,Potential Customer,5
11409,95,3120,2017-01-30,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,34556.0,41.13,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,42,20,7,4179.11,3,3,4,334,Gold,50,Potential Customer,5
13066,38,3120,2017-01-20,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,34071.0,751.02,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,42,20,7,4179.11,3,3,4,334,Gold,50,Potential Customer,5
15829,41,3120,2017-12-10,0.0,Approved,Solex,Road,medium,medium,416.98,312.74,41848.0,104.24,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,42,20,7,4179.11,3,3,4,334,Gold,50,Potential Customer,5
18612,10,3120,2017-10-24,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,38216.0,1103.43,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,42,20,7,4179.11,3,3,4,334,Gold,50,Potential Customer,5
3,37,402,2017-10-16,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,1544.61,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,43,56,6,4965.429999999999,2,2,4,224,Silver,50,Loosing Customer,7
1674,47,402,2017-11-04,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0,189.28,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,43,56,6,4965.429999999999,2,2,4,224,Silver,50,Loosing Customer,7
13820,12,402,2017-09-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,1069.5500000000004,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,43,56,6,4965.429999999999,2,2,4,224,Silver,50,Loosing Customer,7
17127,3,402,2017-01-29,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,1702.5499999999995,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,43,56,6,4965.429999999999,2,2,4,224,Silver,50,Loosing Customer,7
17824,61,402,2017-05-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,14.229999999999995,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,43,56,6,4965.429999999999,2,2,4,224,Silver,50,Loosing Customer,7
18312,77,402,2017-10-03,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,445.20999999999987,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,43,56,6,4965.429999999999,2,2,4,224,Silver,50,Loosing Customer,7
4,88,3135,2017-08-31,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145.0,817.36,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,59,121,7,3983.97,1,3,3,133,Bronze,60,Almost Lost Customer,9
1134,59,3135,2017-02-27,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,34170.0,327.9799999999999,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,59,121,7,3983.97,1,3,3,133,Bronze,60,Almost Lost Customer,9
7000,98,3135,2017-02-08,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,143.36,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,59,121,7,3983.97,1,3,3,133,Bronze,60,Almost Lost Customer,9
8683,59,3135,2017-05-17,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,34170.0,327.9799999999999,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,59,121,7,3983.97,1,3,3,133,Bronze,60,Almost Lost Customer,9
9385,73,3135,2017-05-18,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499.0,1612.25,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,59,121,7,3983.97,1,3,3,133,Bronze,60,Almost Lost Customer,9
14352,2,3135,2017-05-31,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,17.869999999999994,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,59,121,7,3983.97,1,3,3,133,Bronze,60,Almost Lost Customer,9
16342,71,3135,2017-02-13,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,737.1700000000002,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,59,121,7,3983.97,1,3,3,133,Bronze,60,Almost Lost Customer,9
5,78,787,2017-10-01,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226.0,1055.82,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,24,75,10,6646.0,2,4,4,244,Silver,30,Loosing Customer,7
1554,54,787,2017-01-24,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,37823.0,1279.4,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,24,75,10,6646.0,2,4,4,244,Silver,30,Loosing Customer,7
1558,83,787,2017-06-18,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,38339.0,1408.91,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,24,75,10,6646.0,2,4,4,244,Silver,30,Loosing Customer,7
3043,40,787,2017-08-08,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,39427.0,583.2700000000002,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,24,75,10,6646.0,2,4,4,244,Silver,30,Loosing Customer,7
3692,40,787,2017-06-30,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,36498.0,583.2700000000002,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,24,75,10,6646.0,2,4,4,244,Silver,30,Loosing Customer,7
3991,45,787,2017-09-10,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,35470.0,356.5,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,24,75,10,6646.0,2,4,4,244,Silver,30,Loosing Customer,7
4526,22,787,2017-02-16,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,33552.0,15.080000000000005,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,24,75,10,6646.0,2,4,4,244,Silver,30,Loosing Customer,7
9138,31,787,2017-10-16,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37337.0,57.72999999999999,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,24,75,10,6646.0,2,4,4,244,Silver,30,Loosing Customer,7
13515,39,787,2017-04-01,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0,1230.27,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,24,75,10,6646.0,2,4,4,244,Silver,30,Loosing Customer,7
18012,23,787,2017-05-30,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,40670.0,75.75,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,24,75,10,6646.0,2,4,4,244,Silver,30,Loosing Customer,7
6,25,2339,2017-03-08,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031.0,709.34,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,62,11,9,4669.900000000001,4,4,4,444,Platinum,70,Platinum Customer,1
3369,60,2339,2017-05-21,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41047.0,217.51,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,62,11,9,4669.900000000001,4,4,4,444,Platinum,70,Platinum Customer,1
7326,53,2339,2017-12-05,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,33259.0,693.76,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,62,11,9,4669.900000000001,4,4,4,444,Platinum,70,Platinum Customer,1
8128,90,2339,2017-02-05,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,37539.0,72.59999999999997,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,62,11,9,4669.900000000001,4,4,4,444,Platinum,70,Platinum Customer,1
8831,16,2339,2017-11-05,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,39880.0,182.81000000000014,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,62,11,9,4669.900000000001,4,4,4,444,Platinum,70,Platinum Customer,1
9443,68,2339,2017-12-19,1.0,Cancelled,OHM Cycles,Standard,medium,medium,1636.9,44.71,33879.0,1592.19,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,62,11,9,4669.900000000001,4,4,4,444,Platinum,70,Platinum Customer,1
9934,25,2339,2017-07-22,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33888.0,709.34,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,62,11,9,4669.900000000001,4,4,4,444,Platinum,70,Platinum Customer,1
13760,29,2339,2017-04-04,0.0,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,34527.0,135.84999999999997,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,62,11,9,4669.900000000001,4,4,4,444,Platinum,70,Platinum Customer,1
15991,45,2339,2017-02-06,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,38991.0,356.5,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,62,11,9,4669.900000000001,4,4,4,444,Platinum,70,Platinum Customer,1
7,22,1542,2017-04-21,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,15.080000000000005,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,42,133,5,1825.3200000000004,1,2,1,121,Bronze,50,Evasive Customer,10
4160,69,1542,2017-08-19,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,198.22000000000003,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,42,133,5,1825.3200000000004,1,2,1,121,Bronze,50,Evasive Customer,10
13247,16,1542,2017-02-15,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,35378.0,182.81000000000014,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,42,133,5,1825.3200000000004,1,2,1,121,Bronze,50,Evasive Customer,10
13388,28,1542,2017-07-10,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,34527.0,133.7800000000002,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,42,133,5,1825.3200000000004,1,2,1,121,Bronze,50,Evasive Customer,10
17672,55,1542,2017-05-29,0.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,33259.0,1295.43,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,42,133,5,1825.3200000000004,1,2,1,121,Bronze,50,Evasive Customer,10
8,15,2459,2017-07-15,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,1279.4,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,35,53,11,4737.3,2,4,4,244,Silver,40,Loosing Customer,7
1406,50,2459,2017-05-13,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,431.33,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,35,53,11,4737.3,2,4,4,244,Silver,40,Loosing Customer,7
